Institution name,FTE of submitted staff,GPA,search_name,alt_name,editors,Allied Academies,American Psychological Association,American Society of Civil Engineers,BioMedCentral,Cambridge University Press,eLife,Elsevier,Emerald,Frontiers,Hindawi,IGI Global,iMedPub,Inderscience,John Benjamins,Karger,Longdom,MDPI,PeerJ,Pleiades,PLOS,SAGE,SCIRP,Brill,Springer Nature,Royal Society of Chemistry,SciTechnol,All
The University of Reading,699.75,3.2299999999999995,University of Reading,,72.0,0.0,1.0,0.0,4.0,19.0,0.0,72.0,22.0,161.0,5.0,6.0,0.0,13.0,6.0,0.0,3.0,8.0,5.0,1.0,4.0,38.0,0.0,6.0,2.0,1.0,0.0,377.0
The University of Essex,701.82,3.2299999999999995,University of Essex,,28.0,0.0,1.0,0.0,1.0,18.0,0.0,28.0,23.0,133.0,1.0,5.0,0.0,12.0,2.0,0.0,0.0,8.0,0.0,0.0,9.0,63.0,0.0,10.0,0.0,0.0,0.0,314.0
Glasgow School of Art,49.4,3.2299999999999995,Glasgow School of Art,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
SRUC,104.99,3.22,SRUC,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Queen's University of Belfast,963.86,3.1900000000000004,Queen's University of Belfast,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
Cranfield University,348.05,3.19,Cranfield University,,47.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,18.0,62.0,5.0,6.0,1.0,28.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,1.0,192.0
Swansea University / Prifysgol Abertawe,577.65,3.1799999999999997,Swansea University / Prifysgol Abertawe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"University of the Arts, London",191.5,3.1799999999999997,"University of the Arts, London",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Falmouth University,64.3,3.17,Falmouth University,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
St. George's Hospital Medical School,108.07,3.165,St. George's Hospital Medical School,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
